feature_index,importance,rank,words,feature_label
9252,0.03632165858537265,1,everything,everything
7475,0.0341849975111671,2,government,government
11516,0.022659895193055887,3,researchers,researchers
12518,0.02163500277056701,4,developments,developments
15707,0.02155398310273804,5,share,share
1852,0.02109976594514495,6,improvements,improvements
12068,0.02019754189690554,7,stated,stated
15480,0.01868468091269712,8,indicators,indicators
1752,0.01861915250972042,9,economic,economic
3300,0.018380430378805476,10,following,following
13279,0.01810714567482732,11,data,data
10446,0.017826113656658545,12,scale,scale
15452,0.016493901222211546,13,reports,reports
5300,0.01645585261379982,14,hides,hides
7453,0.016446073844067967,15,measures,measures
6338,0.016279504693654176,16,--,hash_6338
11689,0.016058366004341244,17,officials,officials
3440,0.01580716938650195,18,facing,facing
12438,0.015697925410659615,19,concluded,concluded
16167,0.015215935857565099,20,measurable,measurable
14154,0.01506886984949773,21,challenges,challenges
9454,0.013105233419061156,22,scandal,scandal
13407,0.0129108871183245,23,countries,countries
336,0.01266878361505014,24,suggests,suggests
10112,0.012500000000000002,25,state,state
9687,0.012500000000000002,26,bill,bill
16307,0.012500000000000002,27,whistleblowers,whistleblowers
3426,0.012500000000000002,28,gathered,gathered
13626,0.012500000000000002,29,experts,experts
3942,0.012382253740691842,30,evidence,evidence
